Start,Steps,Max Value,Even Steps,Odd Steps
15796,40,15796,30,10
861,103,9232,67,36
76821,125,230464,83,42
54887,122,1502224,81,41
6266,124,9400,81,43
82387,169,634228,110,59
37195,186,190996,120,66
87499,89,393748,61,28
44132,101,59668,68,33
60264,91,60264,62,29
16024,146,21688,95,51
41091,150,184912,98,52
67222,68,151252,48,20
64821,161,194464,105,56
770,33,1156,24,9
59736,73,59736,51,22
62956,55,79684,40,15
64926,192,1404052,124,68
67970,86,101956,59,27
5312,116,9232,76,40
83105,76,599056,53,23
53708,140,60424,92,48
85306,58,127960,42,16
28694,77,64564,53,24
71933,143,409696,94,49
93017,177,313936,115,62
25659,77,129904,53,24
84479,226,12331096,145,81
18432,30,18432,24,6
2748,40,6964,29,11
59151,60,598912,43,17
65726,223,499120,143,80
84655,133,857140,88,45
35774,155,619648,101,54
67436,60,128032,43,17
56887,104,2335444,70,34
66804,117,66804,78,39
31552,54,31552,39,15
11395,68,51280,47,21
69093,112,560356,75,37
3891,38,17512,28,10
41607,150,280852,98,52
96277,190,288832,123,67
80039,120,1538512,80,40
87314,71,372976,50,21
10628,55,10628,39,16
8793,127,42280,83,44
73970,187,355480,121,66
43002,101,275560,68,33
76553,169,551824,110,59
23898,51,35848,37,14
68149,130,204448,86,44
23484,82,150496,56,26
48556,52,54628,38,14
17160,79,17160,54,25
80078,68,1154464,48,20
35921,93,107764,63,30
92068,71,196648,50,21
67122,112,143368,75,37
69480,55,69480,40,15
89476,270,497176,172,98
19458,167,29188,108,59
66558,91,2558788,62,29
77190,213,225988,137,76
78954,138,118432,91,47
52996,78,52996,54,24
40758,75,232144,52,23
9693,73,39364,50,23
45759,238,1319380,152,86
72410,94,108616,64,30
71212,73,80116,51,22
65698,161,98548,105,56
37066,111,55600,74,37
92094,115,699352,77,38
99300,97,99300,66,31
32607,160,495232,104,56
11535,55,116800,39,16
94664,102,94664,69,33
40398,49,258856,36,13
91388,58,520504,42,16
1017,155,9232,99,56
89790,102,681856,69,33
55592,109,55592,73,36
89813,133,269440,88,45
23248,51,23248,37,14
24301,64,72904,45,19
74066,187,1801924,121,66
82799,138,943144,91,47
9269,34,27808,26,8
86808,164,86808,107,57
12186,37,18280,28,9
63705,148,215008,97,51
86780,76,494260,53,23
39100,155,634228,101,54
8572,171,32560,110,61
38045,54,114136,39,15
51215,171,518560,111,60
61229,86,183688,59,27
48985,65,165328,46,19
40775,88,348352,60,28
2569,53,13012,37,16
62593,161,542104,105,56
67564,161,96208,105,56
2696,115,9232,75,40
48191,233,1097872,149,84
5259,103,23668,68,35
87539,102,393928,69,33
39505,62,427192,44,18
33160,41,33160,31,10
13987,107,62944,71,36
61859,210,278368,135,75
12667,55,64132,39,16
38661,75,115984,52,23
3562,74,9232,50,24
26855,95,305908,64,31
64506,99,275560,67,32
52252,140,88180,92,48
22663,87,152980,59,28
8393,127,42496,83,44
30536,85,30536,58,27
78604,50,88432,37,13
52257,140,156772,92,48
89136,71,89136,50,21
35223,49,237760,36,13
77374,76,587572,53,23
79576,138,79576,91,47
96355,53,433600,39,14
84652,107,95236,72,35
63336,148,63336,97,51
10966,117,24676,77,40
24539,157,398032,102,55
70593,143,211780,94,49
98019,66,441088,47,19
8111,65,82132,45,20
79310,125,1715092,83,42
27267,64,122704,45,19
52993,47,158980,35,12
82949,89,248848,61,28
98807,159,1424464,104,55
6911,150,1276936,97,53
90983,146,3934960,96,50
207,88,9232,57,31
87055,71,881440,50,21
87898,102,131848,69,33
23420,175,88936,113,62
50637,158,151912,103,55
50016,158,50016,103,55
54269,184,695464,119,65
87940,164,125224,107,57
18142,92,103336,62,30
80357,120,241072,80,40
71911,174,1660660,113,61
56045,153,168136,100,53
67215,161,680560,105,56
33828,59,42820,42,17
55821,34,167464,27,7
62624,55,62624,40,15
81735,151,698272,99,52
75451,107,381976,72,35
93427,208,420424,134,74
22300,69,37636,48,21
43586,57,65380,41,16
64045,47,192136,35,12
42558,62,323188,44,18
49081,114,165652,76,38
2694,66,6064,45,21
95004,221,160324,142,79
95260,102,228904,69,33
69164,99,599056,67,32
25940,33,25940,26,7
48926,158,247696,103,55
42942,88,326104,60,28
21835,69,118096,48,21
18048,22,18048,19,3
26106,77,74356,53,24
75767,94,511432,64,30
15708,84,26512,57,27
21977,69,74176,48,21
44263,132,504196,87,45
23777,56,304720,40,16
30081,90,90244,61,29
66843,174,21953104,113,61
61374,73,466072,51,22
6777,88,38608,59,29
92788,208,190996,134,74
55017,91,417796,62,29
9475,60,42640,42,18
58054,73,130624,51,22
21960,43,21960,32,11
5531,41,63016,30,11
94857,76,810376,53,23
3749,175,250504,112,63
97505,146,1249504,96,50
98099,115,441448,77,38
13546,37,20320,28,9
66200,99,66200,67,32
34767,54,352024,39,15
73531,63,372256,45,18
93558,84,236824,58,26
61088,42,61088,32,10
95840,53,95840,39,14
68841,81,522772,56,25
54385,65,163156,46,19
51006,202,1276936,130,72
46577,145,139732,95,50
39354,106,95956,71,35
62004,55,62004,40,15
83212,151,93616,99,52
52734,101,1520512,68,33
65319,192,496024,124,68
89475,71,402640,50,21
23665,25,70996,21,4
67173,68,201520,48,20
85617,50,256852,37,13
93265,115,279796,77,38
26737,139,80212,91,48
94210,58,141316,42,16
855,54,5776,37,17
90085,164,270256,107,57
38624,75,38624,52,23
7393,57,94768,40,17
55681,91,167044,62,29
46718,83,532168,57,26
87093,71,261280,50,21
50860,57,91672,41,16
26310,139,59200,91,48
87456,45,87456,34,11
63735,55,430216,40,15
70468,81,70468,56,25
52663,171,355480,111,60
98507,97,443284,66,31
12689,81,38068,55,26
25343,201,2633632,129,72
37158,93,83608,63,30
67864,112,67864,75,37
52084,78,52084,54,24
65734,161,147904,105,56
89046,146,1083184,96,50
34699,160,156148,104,56
80624,138,80624,91,47
22672,82,22672,56,26
25185,64,95632,45,19
93385,84,472768,58,26
42108,88,159892,60,28
86203,151,436408,99,52
51664,78,51664,54,24
15709,84,47128,57,27
91907,84,413584,58,26
49812,96,95956,65,31
2812,172,250504,110,62
56251,83,284776,57,26
72083,42,324376,32,10
34755,160,634228,104,56
95743,159,7361440,104,55
11412,29,11412,23,6
2912,97,9232,64,33
67271,68,454084,48,20
83764,89,83764,61,28
8681,78,74176,53,25
84897,151,254692,99,52
83880,151,83880,99,52
71296,50,71296,37,13
88615,195,672928,126,69
11112,130,11112,85,45
37505,85,160216,58,27
1803,42,8116,30,12
8156,65,13768,45,20
73657,125,248596,83,42
39385,75,132928,52,23
47255,145,318976,95,50
21919,193,5399296,124,69
85982,102,734560,69,33
60714,73,91072,51,22
30307,85,136384,58,27
16647,203,250504,130,73
46844,83,675376,57,26
96602,45,144904,34,11
90736,84,90736,58,26
16372,66,118096,46,20
77372,76,195856,53,23
2050,37,3076,27,10
31617,178,384640,115,63
20933,30,62800,24,6
29856,90,29856,61,29
61435,179,393640,116,63
72695,68,490696,48,20
43017,101,217780,68,33
7401,70,56212,48,22
42643,57,191896,41,16
15152,40,15152,30,10
51408,26,51408,22,4
66691,161,300112,105,56
4500,46,4500,33,13
6296,62,6296,43,19
59041,166,177124,108,58
12184,37,12184,28,9
29300,72,29300,50,22
12875,76,57940,52,24
32712,67,32712,47,20
5540,67,10528,46,21
53352,34,53352,27,7
61268,60,61268,43,17
48355,70,217600,49,21
2558,133,65608,86,47
38361,168,129472,109,59
82019,63,369088,45,18
2201,138,9232,89,49
68498,68,173392,48,20
46976,52,46976,38,14
21358,48,72088,35,13
77506,125,165544,83,42
2870,79,39364,53,26
61136,34,61136,27,7
50109,233,481624,149,84
94180,133,305908,88,45
90273,208,742120,134,74
38468,49,38468,36,13
23329,82,69988,56,26
91413,177,274240,115,62
86832,164,86832,107,57
3988,51,3988,36,15
58872,148,453256,97,51
22400,87,22400,59,28
46215,176,311956,114,62
99523,128,447856,85,43
86417,71,259252,50,21
70272,99,70272,67,32
44065,70,132196,49,21
70092,68,94768,48,20
40819,88,183688,60,28
45526,207,129652,133,74
19831,48,133864,35,13
17430,141,39220,92,49
6894,57,23272,40,17
79910,169,179800,110,59
47334,101,106504,68,33
3437,149,10312,96,53
74291,68,334312,48,20
76214,200,289384,129,71
5896,142,9232,92,50
19739,211,505924,135,76
30747,134,525364,88,46
49378,39,74068,30,9
48405,70,145216,49,21
54046,78,273616,54,24
97889,128,371680,85,43
39791,119,453256,79,40
5601,67,31912,46,21
94661,27,283984,23,4
93180,115,1194100,77,38
40765,75,122296,52,23
74544,156,74544,102,54
45715,176,205720,114,62
56836,91,56836,62,29
73745,50,221236,37,13
56492,60,63556,43,17
18590,61,94120,43,18
